user_id;condition;avg_time_img_basic_bonus;avg_time_img_basic;avg_time_img_bonus;tags_tutorial;tags_basic;tags_bonus;extra_rounds
44,00;2,00;20,47;20,47;;12,00;42,00;;
47,00;2,00;28,07;28,07;;16,00;48,00;;
48,00;1,00;17,60;17,60;;9,00;37,00;;
51,00;3,00;54,87;54,87;;21,00;86,00;;
55,00;4,00;60,10;33,53;139,80;17,00;101,00;25,00;1,00
59,00;4,00;31,00;31,00;;15,00;85,00;;
61,00;3,00;40,27;40,27;;12,00;53,00;;
63,00;1,00;44,47;44,47;;28,00;102,00;;
64,00;1,00;30,93;30,93;;7,00;33,00;;
69,00;2,00;165,47;165,47;;15,00;140,00;;
71,00;1,00;12,40;12,40;;5,00;25,00;;
73,00;1,00;42,67;42,67;;12,00;67,00;;
74,00;1,00;23,80;23,80;;8,00;49,00;;
90,00;2,00;54,45;64,00;25,80;5,00;33,00;10,00;1,00
101,00;2,00;23,70;26,53;15,20;9,00;42,00;11,00;1,00
103,00;2,00;48,07;67,67;28,47;11,00;54,00;54,00;3,00
104,00;3,00;93,87;93,87;;13,00;128,00;;
105,00;4,00;73,67;73,67;;14,00;60,00;;
111,00;2,00;81,00;81,00;;5,00;90,00;;
115,00;3,00;250,30;302,67;93,20;20,00;381,00;54,00;1,00
120,00;2,00;25,72;26,80;24,10;8,00;44,00;27,00;2,00
123,00;2,00;63,00;71,53;37,40;10,00;61,00;15,00;1,00
125,00;3,00;45,20;45,20;;8,00;32,00;;
132,00;4,00;29,67;29,67;;17,00;72,00;;
135,00;4,00;63,75;71,20;41,40;20,00;74,00;22,00;1,00
146,00;1,00;30,73;30,73;;9,00;40,00;;
151,00;3,00;43,00;43,00;;14,00;55,00;;
155,00;4,00;106,20;106,20;;27,00;106,00;;
157,00;2,00;17,85;19,07;14,20;8,00;54,00;14,00;1,00
159,00;2,00;26,73;26,73;;12,00;49,00;;
166,00;2,00;39,60;39,60;;19,00;94,00;;
189,00;2,00;27,70;29,27;23,00;10,00;37,00;6,00;1,00
195,00;2,00;51,70;60,73;24,60;18,00;81,00;19,00;1,00
203,00;1,00;43,33;43,33;;8,00;65,00;;
216,00;4,00;144,05;161,27;92,40;37,00;133,00;32,00;1,00
230,00;1,00;28,27;28,27;;9,00;46,00;;
244,00;1,00;48,60;48,60;;10,00;52,00;;
247,00;1,00;39,67;39,67;;12,00;53,00;;
250,00;1,00;32,00;32,00;;15,00;57,00;;
253,00;1,00;42,60;42,60;;5,00;28,00;;
263,00;2,00;179,13;179,13;;12,00;91,00;;
272,00;1,00;17,33;17,33;;6,00;23,00;;
273,00;2,00;19,05;20,53;14,60;12,00;62,00;17,00;1,00
301,00;4,00;44,80;44,80;;16,00;75,00;;
304,00;1,00;16,07;16,07;;9,00;31,00;;
313,00;1,00;17,40;17,40;;7,00;45,00;;
339,00;3,00;85,60;92,27;65,60;12,00;81,00;27,00;1,00
341,00;4,00;32,07;32,07;;7,00;26,00;;
349,00;1,00;59,53;59,53;;10,00;60,00;;
351,00;2,00;73,65;81,87;49,00;5,00;99,00;28,00;1,00
353,00;4,00;94,60;94,60;;27,00;126,00;;
380,00;1,00;14,27;14,27;;4,00;33,00;;
384,00;4,00;16,00;16,00;16,00;9,00;39,00;12,00;1,00
386,00;1,00;29,60;29,60;;3,00;28,00;;
389,00;1,00;35,90;37,67;30,60;10,00;48,00;16,00;1,00
395,00;2,00;30,40;32,93;22,80;8,00;51,00;16,00;1,00
398,00;4,00;33,13;33,13;;14,00;47,00;;
407,00;3,00;58,63;45,07;68,80;69,00;169,00;310,00;4,00
412,00;2,00;60,55;72,27;25,40;16,00;119,00;25,00;1,00
426,00;4,00;58,73;58,73;;13,00;31,00;;
429,00;2,00;23,67;23,67;;17,00;38,00;;
438,00;3,00;45,60;45,60;;15,00;113,00;;
441,00;4,00;43,60;43,60;;10,00;67,00;;
449,00;4,00;114,67;114,67;;37,00;221,00;;
456,00;4,00;106,40;117,27;73,80;23,00;88,00;24,00;1,00
461,00;4,00;64,73;64,73;;12,00;66,00;;
488,00;4,00;72,67;72,67;;33,00;146,00;;
498,00;3,00;31,80;35,60;26,10;11,00;92,00;62,00;2,00
502,00;4,00;21,13;21,13;;8,00;53,00;;
518,00;5,00;22,33;22,33;;16,00;101,00;;
520,00;5,00;30,40;35,67;14,60;9,00;69,00;15,00;1,00
544,00;5,00;14,67;14,67;;6,00;32,00;;
546,00;5,00;78,00;78,00;;14,00;156,00;;
581,00;5,00;46,33;46,33;;13,00;79,00;;
584,00;5,00;33,80;33,80;;7,00;35,00;;
589,00;5,00;10,60;10,60;;5,00;35,00;;
592,00;5,00;22,93;22,93;;13,00;56,00;;
598,00;5,00;32,93;32,93;;14,00;62,00;;
604,00;5,00;37,25;41,00;26,00;9,00;61,00;17,00;1,00
608,00;5,00;22,25;22,60;21,20;6,00;47,00;18,00;1,00
609,00;5,00;32,93;32,93;;19,00;127,00;;
611,00;5,00;23,20;23,20;;13,00;66,00;;
649,00;5,00;25,33;25,33;;17,00;84,00;;
673,00;5,00;46,20;46,20;;13,00;70,00;;
679,00;5,00;24,53;24,53;;8,00;64,00;;
684,00;5,00;20,33;20,33;;10,00;36,00;;
693,00;5,00;48,20;54,13;30,40;6,00;31,00;17,00;1,00
698,00;5,00;13,93;13,93;;34,00;49,00;;
704,00;5,00;74,85;81,27;55,60;26,00;144,00;36,00;1,00
709,00;4,00;94,75;102,47;71,60;16,00;113,00;23,00;1,00
717,00;4,00;45,87;45,87;;11,00;60,00;;
723,00;4,00;45,60;45,60;;15,00;64,00;;
726,00;4,00;70,60;70,60;;26,00;107,00;;
731,00;3,00;57,50;62,00;44,00;15,00;108,00;30,00;1,00
746,00;3,00;35,00;36,47;30,60;16,00;59,00;14,00;1,00
750,00;3,00;48,20;48,20;;25,00;74,00;;
751,00;3,00;45,47;45,47;;29,00;123,00;;
775,00;3,00;116,40;116,40;;12,00;94,00;;
780,00;3,00;99,67;99,67;;12,00;122,00;;
787,00;3,00;48,35;56,00;25,40;7,00;61,00;20,00;1,00
788,00;4,00;34,40;34,40;;15,00;49,00;;
794,00;4,00;26,93;26,93;;9,00;45,00;;
796,00;3,00;65,10;74,67;36,40;21,00;203,00;43,00;1,00
809,00;3,00;35,80;35,80;;32,00;103,00;;
825,00;3,00;26,07;26,07;;17,00;46,00;;
